ENTRADA,PATRIMÔNIO,STATUS,SERIAL,CATEGORIA,FABRICANTE,MODELO,LOCAL,SAÍDA,OBSERVAÇÃO
,345,Desconhecido,,,,,,,
,346,Desconhecido,,,,,,,
,347,Desconhecido,,,,,,,
,348,Desconhecido,,,,,,,
,349,Desconhecido,,,,,,,
,350,Desconhecido,,,,,,,
,351,Desconhecido,,,,,,,
,352,Desconhecido,,,,,,,
,353,Desconhecido,,,,,,,
,354,Desconhecido,,,,,,,
,355,Desconhecido,,,,,,,
,356,Desconhecido,,,,,,,
,357,Desconhecido,,,,,,,
,358,Desconhecido,,,,,,,
,359,Desconhecido,,,,,,,
,360,Desconhecido,,,,,,,
,361,Desconhecido,,,,,,,
,362,Desconhecido,,,,,,,
,363,Desconhecido,,,,,,,
,364,Desconhecido,,,,,,,
,365,Desconhecido,,,,,,,
,366,Desconhecido,,,,,,,
,367,Desconhecido,,,,,,,
,368,Desconhecido,,,,,,,
,369,Desconhecido,,,,,,,
,370,Desconhecido,,,,,,,
,371,Desconhecido,,,,,,,
,372,Desconhecido,,,,,,,
,373,Desconhecido,,,,,,,
,374,Desconhecido,,,,,,,
,375,Desconhecido,,,,,,,
,376,Desconhecido,,,,,,,
,377,Desconhecido,,,,,,,
,378,Desconhecido,,,,,,,
,379,Desconhecido,,,,,,,
,380,Desconhecido,,,,,,,
,381,Desconhecido,,,,,,,
,382,Desconhecido,,,,,,,
,383,Desconhecido,,,,,,,
,384,Desconhecido,,,,,,,
,385,Desconhecido,,,,,,,
,386,Desconhecido,,,,,,,
,387,Desconhecido,,,,,,,
,388,Desconhecido,,,,,,,
,389,Desconhecido,,,,,,,
,390,Desconhecido,,,,,,,
,391,Desconhecido,,,,,,,
,392,Desconhecido,,,,,,,
,393,Desconhecido,,,,,,,
,394,Desconhecido,,,,,,,
,395,Desconhecido,,,,,,,
,396,Desconhecido,,,,,,,
,397,Desconhecido,,,,,,,
,398,Desconhecido,,,,,,,
,399,Desconhecido,,,,,,,
,400,Desconhecido,,,,,,,
,401,Desconhecido,,,,,,,
,402,Desconhecido,,,,,,,
,403,Desconhecido,,,,,,,
,404,Desconhecido,,,,,,,
,405,Desconhecido,,,,,,,
,406,Desconhecido,,,,,,,
,407,Desconhecido,,,,,,,
,408,Desconhecido,,,,,,,
,409,Desconhecido,,,,,,,
,410,Desconhecido,,,,,,,
,411,Desconhecido,,,,,,,
,412,Desconhecido,,,,,,,
,413,Desconhecido,,,,,,,
,414,Desconhecido,,,,,,,
,415,Desconhecido,,,,,,,
,416,Desconhecido,,,,,,,
,417,Desconhecido,,,,,,,
,418,Desconhecido,,,,,,,
,419,Desconhecido,,,,,,,
,420,Desconhecido,,,,,,,
,421,Desconhecido,,,,,,,
,422,Desconhecido,,,,,,,
,423,Desconhecido,,,,,,,
,424,Desconhecido,,,,,,,
,425,Desconhecido,,,,,,,
,426,Desconhecido,,,,,,,
,427,Desconhecido,,,,,,,
,428,Desconhecido,,,,,,,
,429,Desconhecido,,,,,,,
,430,Desconhecido,,,,,,,
,431,Desconhecido,,,,,,,
,432,Desconhecido,,,,,,,
,433,Desconhecido,,,,,,,
,434,Desconhecido,,,,,,,
,435,Desconhecido,,,,,,,
,436,Desconhecido,,,,,,,
,437,Desconhecido,,,,,,,
,438,Desconhecido,,,,,,,
,439,Desconhecido,,,,,,,
,440,Desconhecido,,,,,,,
,441,Desconhecido,,,,,,,
,442,Desconhecido,,,,,,,
,443,Desconhecido,,,,,,,
,444,Desconhecido,,,,,,,
,445,Desconhecido,,,,,,,
,446,Desconhecido,,,,,,,
,447,Desconhecido,,,,,,,
,448,Desconhecido,,,,,,,
,449,Desconhecido,,,,,,,
,450,À testar,B21U255001693,Switch,D-Link,DES-1016D,,,
,451,Desconhecido,,,,,,,
,452,Desconhecido,,,,,,,
,453,Desconhecido,,,,,,,
